feature,weight
Teff,-0.37584003629664214
Dur,-0.1896255587960007
Vmag,-0.10019933053830969
logg,0.09077602939128447
aR,0.045503646349200906
depth_frac,-0.03820178550317957
Depth,-0.03820178550317429
Rp/Rs,-0.030703022554055204
Rstar,-0.023252039837179262
P,-0.005410008303682478
Rp,-4.982660200697565e-05
Jmag,0.0
Kmag,0.0
ecc,0.0
