dataset,designation,prob,label,Dur_hr,Depth_ppm,P_days,Rp_Re,Teff_K,Rstar_Rsun
KOI,K01681.01,0.9782608695652174,1.0,2.977,614.7,6.93910337,1.41,3638.0,0.42
KOI,K01078.03,0.9782608695652174,1.0,2.6657,1629.8,28.46464804,1.87,3789.0,0.46
KOI,K01422.02,0.9782608695652174,1.0,2.8407,1607.5,19.85029495,1.52,3526.0,0.383
KOI,K00899.02,0.9782608695652174,1.0,1.8177,509.2,3.306551643,0.91,3561.0,0.411
KOI,K01141.01,0.9782608695652174,1.0,2.0295,643.4,5.72812616,1.38,3968.0,0.548
KOI,K02862.01,0.9782608695652174,1.0,2.258,1003.4,24.5752524,1.64,3678.0,0.512
KOI,K05662.01,0.9782608695652174,0.0,1.881,706.7,9.5497037,1.45,3705.0,0.569
KOI,K02793.01,0.9782608695652174,1.0,1.7306,1932.5,4.49686066,1.93,3698.0,0.444
KOI,K00898.02,0.9782608695652174,1.0,2.153,1037.4,5.169804269,1.66,3906.0,0.509
KOI,K03138.01,0.9782608695652174,1.0,1.1627,1679.0,8.68910764,0.49,2703.0,0.118
KOI,K02179.01,0.9782608695652174,1.0,2.4076,944.9,14.87149773,1.59,3825.0,0.524
KOI,K03144.01,0.9782608695652174,1.0,2.455,1056.0,8.07394097,1.59,3675.0,0.398
KOI,K00952.02,0.9782608695652174,1.0,2.3742,1367.6,8.75209691,1.83,3731.0,0.498
KOI,K00248.02,0.9782608695652174,1.0,2.1801,1387.2,10.91274065,2.13,3834.0,0.539
KOI,K05327.01,0.9782608695652174,1.0,1.0338,1421.0,5.43361347,2.09,3694.0,0.566
KOI,K00463.01,0.9782608695652174,1.0,1.94,2604.6,18.47762694,1.55,3395.0,0.283
KOI,K00222.02,0.9514563106796117,1.0,3.4197,816.7,12.7945474,1.6,4090.0,0.571
KOI,K00494.01,0.9514563106796117,1.0,4.0251,1130.8,25.69581456,1.7,3787.0,0.477
KOI,K00438.02,0.9514563106796117,1.0,3.1592,1078.1,52.6615266,1.87,3984.0,0.539
KOI,K00438.01,0.9514563106796117,1.0,2.4999,1007.4,5.931196562,2.01,3984.0,0.539
KOI,K00227.01,0.9514563106796117,1.0,3.509,2155.7,17.65737838,2.45,3745.0,0.47
KOI,K00253.02,0.9514563106796117,1.0,3.267,769.5,20.6180348,1.57,3757.0,0.576
KOI,K01146.01,0.9514563106796117,1.0,2.1059,369.5,7.09712124,0.74,3569.0,0.389
KOI,K01833.01,0.9514563106796117,1.0,1.7744,763.3,3.69298623,1.74,4402.0,0.572
KOI,K01649.01,0.9514563106796117,1.0,1.965,416.2,4.04355245,1.75,3871.0,0.532
KOI,K00250.01,0.9514563106796117,1.0,2.7096,2794.7,12.282998287,2.83,3879.0,0.537
KOI,K01838.01,0.9514563106796117,1.0,2.151,1147.0,16.7364755,2.73,4334.0,0.653
KOI,K06568.01,0.9514563106796117,1.0,1.973,166.0,6.27651592,0.65,3914.0,0.515
KOI,K04252.01,0.9514563106796117,1.0,2.294,173.5,15.5714121,0.72,3872.0,0.557
KOI,K02036.02,0.9514563106796117,1.0,2.272,334.3,5.79529495,1.05,3757.0,0.539
KOI,K03010.01,0.9514563106796117,1.0,4.397,714.3,60.8660974,1.39,3808.0,0.522
KOI,K01713.01,0.9514563106796117,1.0,2.3726,545.8,6.82778157,1.34,4198.0,0.574
KOI,K00676.02,0.9514563106796117,1.0,1.6691,1723.2,2.453236139,2.26,3912.0,0.533
KOI,K00500.03,0.9514563106796117,1.0,1.8732,539.0,3.072146607,1.3,4041.0,0.567
KOI,K00222.01,0.9514563106796117,1.0,2.7455,1286.0,6.312508525,2.0,4090.0,0.571
KOI,K00676.01,0.9514563106796117,1.0,2.9754,3139.0,7.972510087,3.22,3912.0,0.533
KOI,K03090.01,0.9514563106796117,1.0,1.924,362.7,3.82223397,1.05,3729.0,0.514
KOI,K00812.01,0.9514563106796117,1.0,1.9104,1632.6,3.340218842,2.03,3950.0,0.493
KOI,K00886.02,0.9514563106796117,1.0,4.3224,759.2,12.07134205,1.29,3713.0,0.47
KOI,K00500.02,0.9514563106796117,1.0,2.3569,1491.3,9.521644639,2.16,4041.0,0.567
KOI,K00500.01,0.9514563106796117,1.0,2.3982,1480.1,7.053527145,2.16,4041.0,0.567
KOI,K06471.01,0.9514563106796117,0.0,1.273,206.8,8.65311903,0.85,3929.0,0.55
KOI,K00817.01,0.9514563106796117,1.0,3.827,1182.3,23.96793669,1.8,3747.0,0.524
KOI,K05826.01,0.9514563106796117,1.0,2.227,585.7,30.561533,1.53,4294.0,0.664
KOI,K01843.02,0.9514563106796117,1.0,1.55,176.6,6.35585682,0.86,3706.0,0.522
KOI,K00961.03,0.9514563106796117,1.0,0.4279,1124.8,1.865114193,0.66,3292.0,0.148
