dataset,designation,prob,label,Dur_hr,Depth_ppm,P_days,Rp_Re,Teff_K,Rstar_Rsun
TOI,4310.01,1.0,1.0,5.7183604,1376.1395053,739.1670007,2.6735992,4159.0,0.721084
TOI,4328.01,1.0,1.0,2.9297301,601.9566843,703.79367,1.860295,4709.0,0.739835
TOI,4184.01,1.0,1.0,1.3243804,10774.951206,4.9019938,2.5554145,3147.0,0.240807
TOI,2525.02,1.0,1.0,6.5807145,15606.4614867,49.2445599,10.3670919,4944.0,0.824284
TOI,6528.01,1.0,1.0,3.05,13469.0,1484.1934287,8.94439,5602.0,0.8
TOI,815.02,1.0,1.0,2.529,1004.0,734.4987702,2.1838,4953.9,0.76
TOI,913.02,1.0,1.0,5.9485102,945.0433631,1469.8512039,2.7937261,4948.0,0.732535
TOI,4565.01,1.0,1.0,2.6383141,1810.2811624,692.5150646,2.2782015,3614.0,0.531248
TOI,1894.01,1.0,1.0,19.1259714,3106.7675633,739.2389832,6.2876421,5611.0,1.0692
TOI,6690.02,1.0,1.0,22.1692458,603.0604952,904.5347981,2.7306626,5599.17,1.06775
TOI,7166.01,1.0,1.0,1.5980207,8723.2564459,12.9228111,2.1004549,3166.0,0.223377
TOI,5975.01,1.0,1.0,15.3281375,2858.622379,373.0381637,8.4472776,6508.0,1.54352
TOI,237.01,1.0,1.0,1.5419673,4797.1288482,5.4361667,1.7175409,3139.0,0.211299
TOI,6668.01,1.0,1.0,14.6548943,479.4666113,718.652003,3.447372,6002.0,1.3949
TOI,1873.02,1.0,1.0,6.3963069,1344.4884882,900.1930987,3.6185236,5699.0,0.971675
TOI,5523.01,1.0,1.0,13.5723661,28182.0217132,,9.5037684,3696.0,0.563
TOI,7026.01,1.0,1.0,4.167,6381.0,65.5580424,5.53264,4340.0,0.74
TOI,5527.01,1.0,1.0,7.4179451,727.1554128,346.1614828,2.5449936,5862.0,0.92603
TOI,736.01,1.0,1.0,1.3819654,18931.4105812,4.9899176,2.9858436,2940.0,0.17143
TOI,6293.02,1.0,,5.339,15337.0,405.0756576,9.31573,4831.0,0.93
TOI,7049.01,1.0,1.0,2.345,6555.0,40.3833862,2.03391,3236.0,0.25
TOI,6714.01,1.0,,1.321031,4898.6218606,4.7674421,1.0365063,2824.0,0.125969
TOI,715.01,1.0,1.0,2.1841643,4773.5508832,19.2879579,1.7145308,3075.0,0.229824
TOI,2087.01,1.0,1.0,16.0960466,548.082765,,2.2664482,5647.0,0.953815
TOI,6075.01,1.0,1.0,8.6876381,594.2376069,832.9236254,1.7373781,4193.0,0.725064
TOI,6577.01,1.0,1.0,1.515,10806.0,729.9391752,15.2287,5136.9,0.77
TOI,1212.01,1.0,1.0,11.6068811,462.9116325,105.5850893,2.5033335,5909.57,1.1142
TOI,6981.01,1.0,1.0,2.9472616,4753.2829943,425.4506963,2.0762333,3261.0,0.296806
TOI,1276.01,1.0,,2.0369188,4005.022808,6.261169,1.3468319,3145.0,0.211257
TOI,2088.01,1.0,1.0,7.2967692,1781.9160024,124.72987,3.5130935,4902.0,0.831423
TOI,3275.01,1.0,1.0,7.382,17680.0,20.5020769,11.7145,4511.0,0.78
TOI,4503.01,1.0,1.0,7.1450196,691.3914728,710.6982018,2.0928405,5334.0,0.796254
TOI,5725.01,1.0,1.0,2.77304,1671.1171293,746.9545356,2.7184667,3933.0,0.623191
TOI,6690.01,1.0,1.0,7.6296016,545.0105734,761.7092276,2.5578976,5599.17,1.06775
TOI,4504.01,1.0,1.0,7.4967507,13067.7332328,82.9294114,11.4756331,5271.0,0.960919
TOI,785.01,1.0,1.0,30.0156194,570.252799,18.6286102,1.6416264,3783.0,0.561301
TOI,6985.01,1.0,1.0,6.6689152,1655.3509066,748.7146251,3.4308988,5235.0,0.844852
TOI,6669.01,1.0,1.0,2.892543,16102.9689949,731.9966539,10.6774533,4722.0,0.756773
TOI,7212.01,1.0,1.0,6.261,6920.0,75.6979471,6.79508,5422.0,0.91
TOI,1752.02,1.0,1.0,5.075467,1469.2598788,32.7135406,2.4202837,3652.0,0.526987
TOI,4506.01,1.0,1.0,0.7211954,22498.1066362,5.4107024,2.9859726,2938.0,0.185013
TOI,4556.01,0.9642857142857143,1.0,1.2264922,3553.2788818,3.792456,1.4571721,3319.0,0.218553
TOI,6225.01,0.9642857142857143,1.0,1.865,12373.0,8.555965,5.09342,3376.0,0.44
TOI,4571.01,0.9642857142857143,1.0,6.0823745,19347.5990647,30.3599812,11.2141216,4815.0,0.795118
TOI,4317.01,0.9642857142857143,1.0,4.1416672,1862.6949843,358.2825093,3.8800495,4354.29,0.865987
TOI,1812.03,0.9642857142857143,1.0,5.3736904,4780.0505501,48.3320223,5.0923959,5059.36,0.738692
TOI,5721.01,0.9642857142857143,1.0,6.9397715,819.483247,729.4823472,3.330945,5881.4,1.00725
