designation,score,entropy
831.01,0.5,0.6931471805599453
1418.01,0.5264900662251656,0.6917430760497585
902.01,0.5264900662251656,0.6917430760497585
1531.01,0.5264900662251656,0.6917430760497585
1542.01,0.5264900662251656,0.6917430760497585
1457.01,0.5264900662251656,0.6917430760497585
1769.01,0.5264900662251656,0.6917430760497585
1784.01,0.5264900662251656,0.6917430760497585
1671.01,0.5264900662251656,0.6917430760497585
1553.01,0.5264900662251656,0.6917430760497585
1488.01,0.5264900662251656,0.6917430760497585
1487.01,0.5264900662251656,0.6917430760497585
1409.01,0.5264900662251656,0.6917430760497585
1447.01,0.5264900662251656,0.6917430760497585
6272.01,0.5264900662251656,0.6917430760497585
635.01,0.5264900662251656,0.6917430760497585
989.01,0.5264900662251656,0.6917430760497585
5702.01,0.5264900662251656,0.6917430760497585
609.01,0.5264900662251656,0.6917430760497585
1999.01,0.5264900662251656,0.6917430760497585
188.01,0.5264900662251656,0.6917430760497585
568.01,0.5264900662251656,0.6917430760497585
570.01,0.5264900662251656,0.6917430760497585
2038.01,0.5264900662251656,0.6917430760497585
1986.01,0.5264900662251656,0.6917430760497585
1967.01,0.5264900662251656,0.6917430760497585
666.01,0.5264900662251656,0.6917430760497585
668.01,0.5264900662251656,0.6917430760497585
2218.01,0.5264900662251656,0.6917430760497585
2383.01,0.5264900662251656,0.6917430760497585
243.01,0.5264900662251656,0.6917430760497585
2516.01,0.5264900662251656,0.6917430760497585
2234.01,0.5264900662251656,0.6917430760497585
630.01,0.5264900662251656,0.6917430760497585
6656.01,0.5264900662251656,0.6917430760497585
3697.01,0.5264900662251656,0.6917430760497585
354.01,0.5264900662251656,0.6917430760497585
355.01,0.5264900662251656,0.6917430760497585
3487.01,0.5264900662251656,0.6917430760497585
3501.01,0.5264900662251656,0.6917430760497585
326.01,0.5264900662251656,0.6917430760497585
2819.01,0.5264900662251656,0.6917430760497585
472.01,0.5264900662251656,0.6917430760497585
293.01,0.5264900662251656,0.6917430760497585
2725.01,0.5264900662251656,0.6917430760497585
5376.01,0.5264900662251656,0.6917430760497585
2609.01,0.5264900662251656,0.6917430760497585
2491.01,0.5264900662251656,0.6917430760497585
1837.01,0.5264900662251656,0.6917430760497585
498.01,0.5264900662251656,0.6917430760497585
